lago,fecha,archivo,crs,resolucion_m,pixeles_validos,cobertura_poligono_pct,ndvi_min,ndvi_max,ndwi_min,ndwi_max,cya_min,cya_max
amatitlan,2025-01-28,openEO_2025-01-28Z.tif,EPSG:32615,20.0,35059,93.33958296987713,-0.982758641242981,0.44680851697921753,0.0014306394150480628,0.9909909963607788,0.21351549943816395,742.4227923203492
amatitlan,2025-04-15,openEO_2025-04-15Z.tif,EPSG:32615,20.0,36296,96.63291889314186,-0.9753086566925049,0.3601340055465698,0.0013532028533518314,0.9882698059082031,3.455888495676663,1273.5375054278597
amatitlan,2025-04-28,openEO_2025-04-28Z.tif,EPSG:32615,20.0,35085,93.40880425848253,-0.9781420826911926,0.5417790412902832,0.0,0.9911894202232361,3.4224725869052963,2104.5284176046403
amatitlan,2025-11-24,openEO_2025-11-24Z.tif,EPSG:32615,20.0,34563,92.01905377186638,-0.987500011920929,0.3496503233909607,0.0,0.9918032884597778,0.12172828242633614,539.4501203259825
amatitlan,2026-01-08,openEO_2026-01-08Z.tif,EPSG:32615,20.0,33410,88.94935585794218,-0.9848484992980957,0.42574259638786316,0.0,0.9912663698196411,0.09072162009772683,1751.10702242624
amatitlan,2026-02-02,openEO_2026-02-02Z.tif,EPSG:32615,20.0,33363,88.82422506700165,-0.9888889193534851,0.26186293363571167,0.0,0.9920635223388672,0.18837178072544702,1300.9499499107153
amatitlan,2026-02-07,openEO_2026-02-07Z.tif,EPSG:32615,20.0,33460,89.08247372064488,-0.9903846383094788,0.961538553237915,0.0,0.9950248003005981,0.00015224652003757998,1748.4249772893172
amatitlan,2026-03-29,openEO_2026-03-29Z.tif,EPSG:32615,20.0,35777,95.25115547828787,-0.9888268113136292,0.40209269523620605,0.0,0.9933110475540161,5.150105815097304,2506.1399028831347
amatitlan,2026-04-13,openEO_2026-04-13Z.tif,EPSG:32615,20.0,36632,97.52747093050398,-0.7589743733406067,0.4524959921836853,0.0007581629324704409,0.869120717048645,17.037587296949496,3261.701510014031
amatitlan,2026-04-28,openEO_2026-04-28Z.tif,EPSG:32615,20.0,29176,77.6769352442778,-0.6330645680427551,0.4346666932106018,0.0,0.8264352679252625,10.161090861206612,4019.324656231999
amatitlan,2026-06-19,openEO_2026-06-19Z.tif,EPSG:32615,20.0,34483,91.80606519154206,-0.9919678568840027,0.9777778387069702,0.0,0.9964412450790405,0.02918448845327049,1842.6740037996508
atitlan,2025-01-18,openEO_2025-01-18Z.tif,EPSG:32615,20.0,134693,43.205321515353134,-0.9918367266654968,0.978022038936615,0.0,0.9958158135414124,4.562134996673392e-06,1040.168913659621
atitlan,2025-04-13,openEO_2025-04-13Z.tif,EPSG:32615,20.0,306692,98.37724652496182,-0.987500011920929,0.5913978219032288,0.0,0.9918032884597778,0.002382226364715585,52175.15275139063
atitlan,2025-05-13,openEO_2025-05-13Z.tif,EPSG:32615,20.0,306405,98.28518585904075,-0.9876543283462524,0.6326530575752258,0.0,0.9944750666618347,0.00031057472273786856,55503.17405991256
atitlan,2025-07-17,openEO_2025-07-17Z.tif,EPSG:32615,20.0,299803,96.1674697739854,-0.9885057806968689,0.9718310236930847,0.0,0.9955055713653564,2.664635403005211e-06,42598.57290000588
atitlan,2025-11-21,openEO_2025-11-21Z.tif,EPSG:32615,20.0,252444,80.97617682152604,-0.9885057806968689,0.9710145592689514,0.0,0.9956709146499634,1.1480762175625144e-05,9681.805282381922
atitlan,2025-12-29,openEO_2025-12-29Z.tif,EPSG:32615,20.0,282924,90.7532120036659,-0.9850746393203735,0.9753086566925049,0.0,0.9933555126190186,3.963082482035737e-06,6618.840659393035
atitlan,2026-02-12,openEO_2026-02-12Z.tif,EPSG:32615,20.0,240306,77.08268426769357,-0.9903382062911987,0.9772727489471436,0.0,0.9933333396911621,7.863948708596858e-06,1453.962201253362
atitlan,2026-03-24,openEO_2026-03-24Z.tif,EPSG:32615,20.0,305469,97.98494619596717,-0.9869281053543091,0.7894736528396606,0.0,0.9953487515449524,0.00016915713075482452,23065.697495059074
atitlan,2026-04-13,openEO_2026-04-13Z.tif,EPSG:32615,20.0,305128,97.87556401102263,-0.9873418211936951,0.9130434393882751,0.0,0.9945054054260254,1.903233173134816e-05,42904.19370255261
atitlan,2026-04-28,openEO_2026-04-28Z.tif,EPSG:32615,20.0,306318,98.25727896728071,-0.9791666865348816,0.6315789222717285,0.0,0.989847719669342,0.0004688983079193898,1975.1952452311107
atitlan,2026-07-22,openEO_2026-07-22Z.tif,EPSG:32615,20.0,301570,96.73426836869804,-0.9929078221321106,0.8750000596046448,0.0,0.9964221119880676,5.2390951537384935e-05,31948.58106401056
